tipo,autonomia,provincia,matricula,causa,poblacion,fechahora_ini,nivel,carretera,pk_inicial,pk_final,sentido,longitud,latitud, cluster
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-30 09:48:53,Blanco,AP-68,31,31,BILBAO,-2.891762,43.00168,55
Obras,Euskadi,ARABA,VI,Obras,Ribera Baja/Erribera Beitia,2006-11-30 08:59:52,Blanco,AP-68,52,52,ZARAGOZA,-2.894033,42.83658,-1
Obras,Euskadi,ARABA,VI,Obras,Ribera Baja/Erribera Beitia,2006-11-30 08:59:52,Blanco,AP-68,52,52,ZARAGOZA,-2.894033,42.83658,-1
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-27 08:26:35,Blanco,AP-68,50,50,ZARAGOZA,-2.89331,42.85456,78
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-27 08:26:35,Blanco,AP-68,50,50,ZARAGOZA,-2.89331,42.85456,78
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-27 08:26:35,Blanco,AP-68,50,50,ZARAGOZA,-2.89331,42.85456,78
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-27 08:32:42,Blanco,AP-68,46,46,BILBAO,-2.89259,42.88996,73
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-27 08:32:42,Blanco,AP-68,46,46,BILBAO,-2.89259,42.88996,73
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-27 08:26:35,Blanco,AP-68,64,64,ZARAGOZA,-2.91497,42.74139,111
Obras,Euskadi,ARABA,VI,Obras,Ribera Baja/Erribera Beitia,2006-11-27 08:20:04,Blanco,AP-68,74,74,ZARAGOZA,-2.88982,42.66267,-1
Obras,Euskadi,ARABA,VI,Obras,Ribera Alta,2006-11-24 08:47:28,Blanco,AP-68,53,53,BILBAO,-2.89528,42.82766,-1
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-23 15:03:38,Blanco,AP-68,35,35,ZARAGOZA,-2.877197,42.97503,97
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-23 15:03:38,Blanco,AP-68,35,35,ZARAGOZA,-2.877197,42.97503,97
Obras,Euskadi,ARABA,VI,Obras,Ribera Alta,2006-11-20 08:30:44,Blanco,AP-68,64,64,ZARAGOZA,-2.91497,42.74139,111
Obras,Euskadi,ARABA,VI,Obras,Ribera Alta,2006-11-22 15:43:00,Blanco,AP-68,53,53,BILBAO,-2.89528,42.82766,-1
Obras,Euskadi,ARABA,VI,Obras,Ribera Baja/Erribera Beitia,2006-11-20 08:30:44,Blanco,AP-68,63,63,ZARAGOZA,-2.90674,42.74772,103
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-20 08:30:44,Blanco,AP-68,63,63,ZARAGOZA,-2.90674,42.74772,103
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-20 09:54:52,Blanco,AP-68,33,33,BILBAO,-2.873356,42.99057,66
