tipo,autonomia,provincia,matricula,causa,poblacion,fechahora_ini,nivel,carretera,pk_inicial,pk_final,sentido,longitud,latitud
Obras,Euskadi,ARABA,VI,Obras,Urkabustaiz,2007-11-15 08:47:50,Blanco,AP-68,47,47,ZARAGOZA,-2.89352,42.88135
Obras,Euskadi,ARABA,VI,Obras,Urkabustaiz,2007-11-15 08:47:50,Blanco,AP-68,47,47,ZARAGOZA,-2.89352,42.88135
Obras,Euskadi,ARABA,VI,Obras,None,2007-11-14 08:52:18,Blanco,AP-68,48,48,ZARAGOZA,-2.89306,42.87248
Obras,Euskadi,ARABA,VI,Obras,Ribera Alta,2007-11-14 08:52:18,Blanco,AP-68,44,44,ZARAGOZA,-2.89711,42.90756
Obras,Euskadi,ARABA,VI,Obras,Vitoria-Gasteiz,2007-11-14 01:08:12,Amarillo,N-1,352,352,IRÚN,-2.69683,42.8802
Obras,Euskadi,ARABA,VI,Obras,Zuia,2007-11-13 08:38:03,Blanco,AP-68,31,31,ZARAGOZA,-2.89219,43.00167
Obras,Euskadi,ARABA,VI,Obras,Ribera Alta,2007-11-13 10:19:21,Blanco,AP-68,44,44,ZARAGOZA,-2.89711,42.90756
Obras,Euskadi,ARABA,VI,Obras,Ribera Alta,2007-11-13 08:40:54,Amarillo,AP-68,63,63,ZARAGOZA,-2.90674,42.74772
Obras,Euskadi,ARABA,VI,Obras,Ribera Alta,2007-11-13 08:38:03,Blanco,AP-68,31,31,BILBAO,-2.891762,43.00168
Obras,Euskadi,ARABA,VI,Obras,Ribera Alta,2007-11-13 08:40:54,Amarillo,AP-68,63,63,ZARAGOZA,-2.90674,42.74772
Obras,Euskadi,ARABA,VI,Obras,None,2007-11-13 08:40:54,Amarillo,AP-68,63,63,ZARAGOZA,-2.90674,42.74772
Obras,Euskadi,ARABA,VI,Obras,Ribera Alta,2007-11-13 10:19:21,Blanco,AP-68,44,44,ZARAGOZA,-2.89711,42.90756
Obras,Euskadi,ARABA,VI,Obras,Ribera Alta,2007-11-13 08:38:03,Blanco,AP-68,31,31,BILBAO,-2.891762,43.00168
Obras,Euskadi,ARABA,VI,Obras,Ribera Alta,2007-11-12 08:50:47,Blanco,AP-68,63,63,ZARAGOZA,-2.90674,42.74772
Obras,Euskadi,ARABA,VI,Obras,None,2007-11-12 08:50:47,Blanco,AP-68,63,63,ZARAGOZA,-2.90674,42.74772
Obras,Euskadi,ARABA,VI,Obras,Kuartango,2007-11-08 09:40:32,Blanco,AP-68,44,44,ZARAGOZA,-2.89711,42.90756
Obras,Euskadi,ARABA,VI,Obras,None,2007-11-08 09:40:32,Blanco,AP-68,44,44,ZARAGOZA,-2.89711,42.90756
Obras,Euskadi,ARABA,VI,Obras,Amurrio,2007-11-08 08:33:49,Blanco,AP-68,23,23,BILBAO,-2.93097,43.06346
Obras,Euskadi,ARABA,VI,Obras,None,2007-11-08 08:33:49,Blanco,AP-68,23,23,BILBAO,-2.93097,43.06346
Obras,Euskadi,ARABA,VI,Obras,Amurrio,2007-11-07 08:46:00,Blanco,AP-68,24,24,BILBAO,-2.931558,43.05477
Obras,Euskadi,ARABA,VI,Obras,Amurrio,2007-11-06 08:23:43,Blanco,AP-68,24,24,BILBAO,-2.931558,43.05477
Obras,Euskadi,ARABA,VI,Obras,None,2007-10-31 11:44:18,Blanco,AP-68,34,34,ZARAGOZA,-2.87067,42.98276
Obras,Euskadi,ARABA,VI,Obras,Kuartango,2007-10-31 08:37:57,Blanco,AP-68,43,43,BILBAO,-2.9027,42.91511
Obras,Euskadi,ARABA,VI,Obras,Kuartango,2007-10-31 08:37:57,Blanco,AP-68,43,43,BILBAO,-2.9027,42.91511
Obras,Euskadi,ARABA,VI,Obras,None,2007-10-31 11:44:18,Blanco,AP-68,34,34,ZARAGOZA,-2.87067,42.98276
Obras,Euskadi,ARABA,VI,Obras,None,2007-10-31 08:37:57,Blanco,AP-68,43,43,BILBAO,-2.9027,42.91511
Obras,Euskadi,ARABA,VI,Obras,None,2007-10-30 16:43:01,Blanco,AP-68,52,52,BILBAO,-2.89389,42.83642
Obras,Euskadi,ARABA,VI,Obras,None,2007-10-30 11:34:17,Blanco,AP-68,64,64,ZARAGOZA,-2.91497,42.74139
Obras,Euskadi,ARABA,VI,Obras,None,2007-10-30 11:34:17,Blanco,AP-68,64,64,ZARAGOZA,-2.91497,42.74139
Obras,Euskadi,ARABA,VI,Obras,None,2007-10-30 07:44:48,Blanco,AP-68,77,77,ZARAGOZA,-2.86839,42.64229
Obras,Euskadi,ARABA,VI,Obras,None,2007-10-29 08:36:53,Blanco,AP-68,32,32,BILBAO,-2.881384,42.99702
Obras,Euskadi,ARABA,VI,Obras,None,2007-10-29 08:12:46,Blanco,AP-68,77,77,ZARAGOZA,-2.86839,42.64229
Obras,Euskadi,ARABA,VI,Obras,None,2007-10-26 14:25:15,Amarillo,N-240,13,9,VITORIA-GASTEIZ,-2.63704,42.95252
Obras,Euskadi,ARABA,VI,Obras,None,2007-10-26 09:02:51,Blanco,AP-68,44,44,ZARAGOZA,-2.89711,42.90756
Obras,Euskadi,ARABA,VI,Obras,None,2007-10-26 09:02:51,Blanco,AP-68,44,44,ZARAGOZA,-2.89711,42.90756
Obras,Euskadi,ARABA,VI,Obras,None,2007-10-25 10:41:52,Blanco,AP-68,28,28,BILBAO,-2.91231,43.02321
Obras,Euskadi,ARABA,VI,Obras,Ribera Alta,2007-10-24 08:39:14,Blanco,AP-68,53,53,BILBAO,-2.89528,42.82766
Obras,Euskadi,ARABA,VI,Obras,None,2007-10-24 08:39:14,Blanco,AP-68,53,53,BILBAO,-2.89528,42.82766
Obras,Euskadi,ARABA,VI,Obras,None,2007-10-23 10:14:08,Blanco,AP-68,69,69,BILBAO,-2.90099,42.70471
