Cluster,Numero de Accidentes por Cluster,Numero de accidentes por salida, numero de accidentes por Alcance, Numero de accidentes por Vuelco, Numero de accidentes por tijera, numero de accidentes por atropello, Numero de accidentes por nivel Amarillo, Numero de Accidentes por Nivel Blanco, Numero de accidentes por nivel Negro, Numero de accidentes por nivel Rojo,Class
101,22,10,4,0,8,0,6,7,7,2,No hay Obras
102,6,2,0,4,0,0,4,2,0,0,No hay Obras
103,11,5,0,0,6,0,4,7,0,0,Nivel Medio
104,13,5,0,8,0,0,4,6,0,3,No hay Obras
105,7,0,3,4,0,0,2,5,0,0,No hay Obras
106,5,5,0,0,0,0,3,2,0,0,Nivel Bajo
107,8,4,0,3,0,1,0,8,0,0,Nivel Medio
108,10,4,2,4,0,0,5,5,0,0,Nivel Medio
109,7,5,2,0,0,0,3,4,0,0,Nivel Medio
110,8,2,5,1,0,0,1,7,0,0,No hay Obras
111,7,2,2,2,1,0,0,7,0,0,Nivel Medio
112,5,4,1,0,0,0,1,4,0,0,No hay Obras
113,18,10,6,2,0,0,7,11,0,0,No hay Obras
114,5,4,1,0,0,0,0,5,0,0,Nivel Bajo
115,12,9,3,0,0,0,1,11,0,0,No hay Obras
116,15,9,3,3,0,0,6,9,0,0,No hay Obras
117,5,0,5,0,0,0,4,1,0,0,No hay Obras
118,9,1,0,8,0,0,3,6,0,0,Nivel Bajo
119,8,0,7,0,0,1,0,8,0,0,Nivel Medio
120,5,2,3,0,0,0,0,5,0,0,No hay Obras
